class,taxa,genus,FWS scientifc name,FWS common name,lead_region,FederalListingStatus,WhereListed,year,hab,over,poll,spsp,env,demo,total
Vertebrate,Amphibians,Ambystoma,Ambystoma bishopi,Reticulated flatwoods salamander,4,Endangered,Wherever found,2009,1,0,0,1,1,1,4
Vertebrate,Amphibians,Ambystoma,Ambystoma californiense,California tiger Salamander,8,Endangered,U.S.A. (CA - Santa Barbara County),2000,1,0,1,1,0,1,4
Vertebrate,Amphibians,Ambystoma,Ambystoma californiense,California tiger Salamander,8,Endangered,U.S.A. (CA - Sonoma County),2002,1,0,0,1,1,1,4
Vertebrate,Amphibians,Ambystoma,Ambystoma californiense,California tiger Salamander,8,Threatened,U.S.A. (CA - Central California),2004,1,0,0,1,0,1,3
Vertebrate,Amphibians,Ambystoma,Ambystoma cingulatum,Frosted Flatwoods salamander,4,Threatened,Wherever found,1999,1,0,0,0,0,0,1
Vertebrate,Amphibians,Ambystoma,Ambystoma tigrinum stebbinsi,Sonora tiger Salamander,2,Endangered,Wherever found,1997,1,0,0,1,1,1,4
Vertebrate,Amphibians,Anaxyrus,Anaxyrus californicus,Arroyo (=arroyo southwestern) toad,8,Endangered,Wherever found,1994,1,1,1,1,1,1,6
Vertebrate,Amphibians,Anaxyrus,Anaxyrus canorus,Yosemite toad,8,Threatened,Wherever found,2014,1,0,0,1,1,1,4
Vertebrate,Amphibians,Bufo,Bufo hemiophrys baxteri,Wyoming Toad,6,Endangered,Wherever found,1984,1,0,1,0,0,0,2
Vertebrate,Amphibians,Cryptobranchus,Cryptobranchus alleganiensis bishopi,Ozark Hellbender,3,Endangered,Wherever found,2011,1,1,1,1,1,1,6
Vertebrate,Amphibians,Eleutherodactylus,Eleutherodactylus cooki,Guajon,4,Threatened,Wherever found,1997,1,1,0,1,1,0,4
Vertebrate,Amphibians,Eleutherodactylus,Eleutherodactylus jasperi,Golden coqui,4,Threatened,Wherever found,1977,1,1,0,0,0,1,0
Vertebrate,Amphibians,Eleutherodactylus,Eleutherodactylus juanariveroi,Llanero Coqui,4,Endangered,Wherever found,2012,1,1,1,1,0,0,4
Vertebrate,Amphibians,Eurycea,Eurycea chisholmensis,Salado Salamander,2,Threatened,Wherever found,2014,1,0,1,0,1,1,4
Vertebrate,Amphibians,Eurycea,Eurycea nana,San Marcos salamander,2,Threatened,Wherever found,1980,1,0,0,0,0,0,1
Vertebrate,Amphibians,Eurycea,Eurycea naufragia,Georgetown Salamander,2,Threatened,Wherever found,2014,1,0,1,0,0,0,2
Vertebrate,Amphibians,Eurycea,Eurycea sosorum,Barton Springs salamander,2,Endangered,Wherever found,1997,1,0,1,0,0,0,2
Vertebrate,Amphibians,Eurycea,Eurycea tonkawae,Jollyville Plateau Salamander,2,Threatened,Wherever found,2013,1,0,0,1,1,1,4
Vertebrate,Amphibians,Eurycea,Eurycea waterlooensis,Austin blind Salamander,2,Endangered,Wherever found,2013,1,0,1,1,1,1,5
Vertebrate,Amphibians,Peltophryne,Peltophryne lemur,Puerto Rican crested toad,4,Threatened,Wherever found,1987,1,0,0,0,0,1,2
Vertebrate,Amphibians,Phaeognathus,Phaeognathus hubrichti,Red Hills salamander,4,Threatened,Wherever found,1977,1,1,0,0,0,1,3
